summary,ours
Ivanka Trump conflates Chicago gun violence statistics | PolitiFact Illinois,0
"Is Walmart ‘one of the largest sellers of assault-style weapons,’ as MSNBC anchor said? | Pund",0
The Elizabeth Warren quote likening abortion to tonsil removal? It’s edited and taken out of context | PolitiFact Facebook fact-checks,0
"No, old photo of women in KKK attire was digitally altered to include ‘Democrat Party’ on sign | PolitiFact Facebook fact-checks",0
"No, congressional salaries have not gone up 231% over the last 30 years | PolitiFact Facebook fact-checks",0
Doctors argue plans to remedy surprise medical bills will ‘shred’ the safety net | PolitiFact Health Check,0
Check: Are there ‘more gun deaths by far' in America than any other country? | PolitiFact Californ,0
ebook post mischaracterizes scientists' cow flatulence studies | PolitiFact Facebook fact-checks,0
-checking the claim that Ida B. Wells was ignored because she was a Republican | PolitiFact Facebook fact-checks,0
"No, ICE didn't check immigration papers immediately after El Paso shooting | PolitiFact Facebook fact-checks",0
nts on Fire: State rep claims mass shootings are down under Trump | PolitiFact Wisconsin,0
"No, the Dayton shooting suspect didn’t die in 2014 | PolitiFact Facebook fact-checks",0
Bynum-Coleman mostly right about racial disparity in drug arrests and imprisonment | PolitiFact Virgin,0
"After mass shootings, Donald Trump says prosecutions for firearm offenses hit record in 2018",0
-checking Beto O'Rourke on murders in El Paso after mass shooting | PolitiFact Texas,0
"No, the El Paso and Dayton mass shootings were not ‘false flag’ operations | PolitiFact Facebook fact-checks",0
"Donald Trump’s flawed comparison of homicide rates in Baltimore, Central Amer",0
Chelsea Handler blames Trump’s tweets for break-in at Cummings’ home. That’s wrong | Pund,0
Trump’s false charge that Democrats want virtual immunity for violent illegal immigrants,0
"-checking the Joe Biden, Kirsten Gillibrand spat over 1980s child care tax credit vote",0
"At debate, Joe Biden said to Google ‘1,000 prisoners freed Kamala Harris.’ Time for a fact-check",0
Are there more gun deaths in the United States than any other country? | PolitiFact Texas,0
Tulsi Gabbard cites US arms sales to Saudi Arabia in falsely claiming Donald Trump supports al-Qaid,0
"No, China is not paying U.S. farmers $16B through tariffs | PolitiFact Wisconsin",0
"In Baltimore talk, Ben Carson highlights extremely low homelessness rates in Toky",0
"-checking Trump ad on Democrats, health care for immigrants illegally in the country",0
Ives falsely claims primary foe did not publicly oppose Illinois abortion bill | PolitiFact Illinois,0
-checking Marianne Williamson on school funding in the United States,0
Scott's right: 'Modest' two-bedroom apartments not affordable at minimum wage | PolitiFact Virgin,0
"Here's how the deficit performed under Republican and Democratic presidents, from Reagan to Trump",0
"No, the names of CNN anchors were not on the Epstein flight logs | PolitiFact Facebook fact-checks",0
That viral photo of migrants on a ship during World War II you’re seeing online? It’s miscaptioned | PolitiFact Facebook fact-checks,0
Has Trump encouraged an unprecedented number of migrants to seek asylum at the border? | PolitiFact Illinois,0
Gillibrand's claim on transaction taxes not whole story | PolitiFact New York,0
"No, Werner Herzog didn’t say this about America and Germany | PolitiFact Facebook fact-checks",0
This Abraham Lincoln quote is fake but it’s close to something he actually said | PolitiFact Facebook fact-checks,0
No evidence Whoopi Goldberg called Jeanine Pirro a slur | PolitiFact Facebook fact-checks,0
O’Rourke on point with claim on U.S. incarcerating migrant children | PolitiFact Wisconsin,0
Klobuchar says there are enough drug lobbyists in D.C. to double-team lawmakers | PolitiFact Health Check,0
"‘Honest’ ad mostly wrong about Trump, taxes and Medicare | PolitiFact Wisconsin",0
"Elizabeth Warren says manufacturing is in recession, but signs are mixed",0
"No, survey did not say that a third of Guatemalans intend to come to the United States | PolitiFact Wisconsin",0
Vermont's former education secretary says governor's pushing statewide vouchers. He’s not. | PolitiFact Vermon,0
How much has crime gone down at the Texas-Mexico border? | PolitiFact Texas,0
No evidence Chelsea Clinton is married to George Soros’ nephew | PolitiFact Facebook fact-checks,0
ebook post on immigration misuses an old Trump 'animals' quote | PolitiFact Facebook fact-checks,0
AOC isn’t going after motorcycles. That quote was made up | PolitiFact Facebook fact-checks,0
"No, the first American president wasn’t a black man named John Hanson | PolitiFact Facebook fact-checks",0
Have Trump judicial nominees refused to say Brown vs. Board was properly decided? | Pund,0
"No, Megan Rapinoe didn’t stomp on the American flag | PolitiFact Facebook fact-checks",0
"No, a Trump supporter wasn’t mocking a dead migrant child | PolitiFact Facebook fact-checks",0
ebook post on deaths of 6 people from Ferguson stretches what’s known | PolitiFact Facebook fact-checks,0
A look at whether Robert Mueller broke the rules for special counsels,0
"ebook post compares votes by Rand Paul, Ilhan Omar on Sept. 11 victim compensation fund | PolitiFact Facebook fact-checks",0
Bill Stanley errs in boast about Va. concealed gun permit holders | PolitiFact Virgin,0
"No, Fox News is not snubbing Mueller’s testimony | Pund",0
"CLAIM: South Florida Congresswoman Donna Shalala claimed that children housed at the Homestead migrant facility in Florida are treated worse than prisoners, as they only get 30 minutes over a month to talk to family members, while federal prisoners get 300 minutes.

EXPLANATION: Shalala's claim is partially true. While she misspoke about the number of minutes children at the Homestead facility get to speak, which is actually 10 minutes twice a week (80 minutes a month), she is correct that they receive less telephone time than federal prisoners, who get 300 minutes a month. The discrepancy in phone time between the two groups is due to a policy written in 2015 during the Obama administration.",1
"Yes, the Trump campaign is selling plastic Trump straws | PolitiFact Facebook fact-checks",0
"No, Mexico didn't take 30% of U.S. auto business as Trump claims | PolitiFact Wisconsin",0
"No, Ocasio-Cortez didn't call Americans garbage, as Donald Trump claims",0
"Do studies show middle-class families would save $3,000 a year under Medicare for All? Not really",0
"At Trump rally, Bishop tells half the story of McCready and Omar | PolitiFact North Carolin",0
"No, this isn’t a photo of Alexandria Ocasio Cortez crying over a parking lot | PolitiFact Facebook fact-checks",0
Mendoza’s comparison of Indiana and Illinois gasoline taxes veers off course | PolitiFact Illinois,0
Do State Health Plan changes deny state employees access to care? | PolitiFact North Carolin,0
Trump said when crowd chanted 'send her back' about Omar he stopped it. Video shows otherwise.,0
ke Ocasio-Cortez quote about professional truck drivers originated from satire website | PolitiFact Facebook fact-checks,0
Trump’s Ellis Island award was not for work ‘within the black community’ | PolitiFact Facebook fact-checks,0
A conservative group paints Trump’s drug-pricing experiment as ‘socialist.’ Is it? | PolitiFact Health Check,0
Gabbard hits target with claim on Trump and military deportations | PolitiFact Wisconsin,0
"No, Gitmo detainees not headed to ‘neighborhood near you’ as Florida congressman said | PolitiFact Florid",0
"Checking Bernie Sanders on life expectancy in Virginia, West Virginia | PolitiFact West Virgin",0
"No, the FDA isn’t requiring all ice cream containers be sealed in response to the Blue Bell licker | PolitiFact Facebook fact-checks",0
"No, country hip-hop star Lil Nas X was not dropped from Wrangler after coming out as gay | PolitiFact Facebook fact-checks",0
George H.W. Bush didn’t say if Americans ever found out ‘what we have done’ they would ‘lynch us’ | PolitiFact Facebook fact-checks,0
