line_number,summary
104,"SANDERS claims that millionaires and billionaires are funding super PACs and electing candidates who represent their interests, not the interests of working people. He also argues that climate change is real and caused by human activity, and that we have a moral responsibility to transition to sustainable energy. Additionally, he points out that the United States has the highest incarceration rate and high unemployment rates for African-American and Hispanic youth. SANDERS suggests that instead of investing in more jails, we should prioritize education and job opportunities for young people. He concludes by stating that his campaign aims to mobilize the people to reclaim the government from a few billionaires and establish a vibrant democracy."
105,"SANDERS claims at the Democratic debate in Las Vegas on October 13th, 2015 that climate change is real, caused by human activity, and we have a moral responsibility to transition to sustainable energy. He also argues that the US has the highest incarceration rate, with high unemployment rates for African-American and Hispanic youth. SANDERS suggests that instead of investing in more jails, the focus should be on education and job opportunities for young people. He concludes by stating that his campaign aims to mobilize the people to reclaim the government from billionaires and establish a vibrant democracy."
163,CLINTON claims in the last sentence that she is a progressive who likes to get things done.
163,CLINTON claims in the last sentence that she is a progressive who likes to get things done.
330,"COOPER claims that Clinton believes Bernie Sanders is not tough enough on guns during the Democratic debate in Las Vegas, Nevada on October 13th, 2015."
103,"SANDERS claims that the Citizens United Supreme Court decision has resulted in a corrupt campaign finance system that undermines American democracy. He argues that millionaires and billionaires are using super PACs to fund candidates who represent their interests, rather than the interests of working people. SANDERS also asserts that climate change is real and caused by human activity, and that there is a moral responsibility to transition to sustainable energy. He highlights the high rates of incarceration in the United States and suggests that investing in education and jobs for young people would be a better solution. SANDERS concludes by stating that his campaign aims to mobilize the people to reclaim the government from a few billionaires and establish a vibrant democracy. This claim was made during the Democratic debate in Las Vegas on October 13th, 2015."
1084,"CLINTON claims during the Democratic debate in Las Vegas on October 13th, 2015 that she wants to enhance the benefits for the poorest recipients of Social Security, particularly women who are widowed or single and did not earn much during their careers. She also states that she will focus on helping those who need it the most and defend Social Security, while also working to ensure its solvency in the future."
199,"SANDERS claims that Republicans win when there is a low voter turnout, as happened in the previous November election. He states that 63% of the American people didn't vote, and 80% of young people didn't vote. SANDERS argues that his campaign is generating excitement and large voter turnouts, which will lead to Democratic victories. This claim was made during the Democratic debate in Las Vegas on October 13th, 2015."
1637,"SANDERS claimed during the Democratic debate in Las Vegas on October 13th, 2015 that the upcoming debate will be moderated by his colleague, Wolf Blitzer."
1364,"CLINTON claimed that an all-of-the-above strategy is necessary to address climate change during the Democratic debate in Las Vegas, Nevada on October 13th, 2015."
1365,"CLINTON claimed that an all-of-the-above strategy is necessary to address climate change during the Democratic debate in Las Vegas, Nevada on October 13th, 2015."
