line_number,summary
20,"Trump claimed at the Trump draft RNC on July 21st, 2016 that the crime and violence in the nation will end and safety will be restored starting on January 20th, 2017. He stated that the government's basic duty is to defend its citizens and any government that fails to do so is unworthy to lead. Trump also emphasized the need for a straightforward assessment of the nation and promised to present the facts honestly, without political correctness or lies."
21,"Trump claimed that the government's most basic duty is to defend the lives of its citizens, and any government that fails to do so is unworthy to lead. He stated that safety will be restored starting on January 20th, 2017. This claim was made during a speech draft leaked hours in advance of the Trump draft RNC."
22,"Trump claimed that the most basic duty of government is to defend the lives of its own citizens, and any government that fails to do so is unworthy to lead. He stated that it is time for a straightforward assessment of the state of the nation and that he will present the facts plainly and honestly. Trump criticized political correctness and stated that there will be no lies at the convention, only the truth to honor the American people. He also mentioned that homicides increased by 17% in America's fifty largest cities."
29,"Trump claimed in a speech draft that the Obama Administration's rollback of criminal enforcement has led to a reversal of decades of progress in bringing down crime. He stated that homicides in America's fifty largest cities increased by 17% last year, the largest increase in 25 years. He also mentioned that killings in Washington D.C. have risen by 50%, in Baltimore by nearly 60%, and in Chicago, over 2,000 people have been victims of shootings this year alone, with over 3,600 killed since Obama took office. Additionally, Trump claimed that the number of police officers killed in the line of duty has risen by almost 50% compared to the previous year, and nearly 180,000 illegal immigrants with criminal records are roaming free to threaten citizens."
40,Trump claimed during a debate that the Obama Administration released tens of thousands of border-crossers into communities without considering the impact on public safety or resources. He specifically mentioned a case where a border-crosser killed a young girl named Sarah Root in Nebraska. Trump criticized the administration for not valuing the lives of Americans and sacrificing them for the sake of open borders. He also highlighted the high poverty and unemployment rates among African-American children and youth.
47,"Trump claimed that there are nearly four in 10 African-American children living in poverty, while 58% of African American youth are unemployed. He also stated that there are 2 million more Latinos in poverty today than when the President took office, and that 14 million people have left the workforce. Additionally, Trump mentioned that household incomes are down more than $4,000 since the year 2000, and that the manufacturing trade deficit has reached an all-time high of nearly $800 billion in a single year. He concluded by stating that President Obama has doubled the national debt to over $19 trillion. Trump questioned what the country has to show for these circumstances."
43,"Trump claimed that the Obama Administration did not value the life of a young woman who was killed after graduating college, and that they prioritize open borders over protecting American lives. He also stated statistics about poverty rates among African-American and Latino communities, as well as the decrease in household incomes since 2000."
187,"Trump claimed that his plan for immigration is the opposite of Hillary Clinton's and that Americans and communities want relief from uncontrolled immigration. He accused Clinton of proposing mass amnesty, mass immigration, and mass lawlessness, which he believes will overwhelm schools and hospitals, reduce jobs and wages, and make it harder for recent immigrants to escape poverty. Trump also mentioned his vision for workers, which includes a new fair trade policy to protect jobs and stand up to countries that cheat. He emphasized that this message has been a signature feature of his campaign and will continue to be a priority during his presidency."
187,"Trump claimed that his plan for immigration is the opposite of Hillary Clinton's and that Americans and communities want relief from uncontrolled immigration. He accused Clinton of proposing mass amnesty, mass immigration, and mass lawlessness, which he believes will overwhelm schools and hospitals, reduce jobs and wages, and make it harder for recent immigrants to escape poverty. Trump also mentioned his vision for workers, which includes a new fair trade policy to protect jobs and stand up to countries that cheat. He emphasized that this message has been a signature feature of his campaign and will continue to be a priority during his presidency."
160,Trump claims that his opponent will never meet with or share in the pain of families who have lost their children to violence spilling across the border.
58,Trump claimed that America is less safe and the world is less stable because of Obama's decision to put Hillary Clinton in charge of foreign policy. He believes that her bad instincts and judgment are responsible for the current disasters.
148,"Trump claimed at the Trump draft RNC on July 21st, 2016 that as President, he will do everything in his power to protect LGBT citizens from the violence and oppression of a hateful foreign ideology. He also stated that to protect against terrorism, the US needs to focus on intelligence gathering, abandon failed policies of nation building and regime change, work with allies to destroy ISIS, and suspend immigration from terrorism-compromised nations until proper vetting mechanisms are in place."
149,"Trump claimed that as President, he would protect the LGBT community from violence and oppression caused by a hateful foreign ideology. He also stated that the US needs to focus on intelligence gathering, work with allies to destroy ISIS, and suspend immigration from nations compromised by terrorism until proper vetting mechanisms are in place. Trump criticized his opponent for calling for a significant increase in Syrian refugees."
205,"Trump claimed at the Trump draft RNC on July 21st, 2016 that he will renegotiate trade agreements, enforce trade violations, and reform tax laws, regulations, and energy rules."
206,"Trump claimed during the debate that he will not sign any trade agreement that harms American workers or reduces their freedom and independence. Instead, he will make individual deals with individual countries. He also stated that he will enforce trade violations, including through the use of taxes and tariffs, against any country that cheats. Trump plans to renegotiate trade agreements with China and others, including NAFTA, and aims to rebuild American manufacturing. Additionally, he proposed the largest tax reduction compared to any other candidate in the presidential race."
207,"Trump claimed that he will make individual deals with individual countries instead of entering into massive deals with many countries. He also stated that he will enforce trade violations, including through the use of taxes and tariffs, against any country that cheats. Trump mentioned renegotiating trade agreements with China and others, including NAFTA, and emphasized the need to start building and making things again. Additionally, he proposed the largest tax reduction and simplification for middle-income Americans."
207,"Trump claimed that he will make individual deals with individual countries instead of entering into massive deals with many countries. He also stated that he will enforce trade violations, including through the use of taxes and tariffs, against any country that cheats. Trump mentioned renegotiating trade agreements with China and others, including NAFTA, and emphasized the need to start building and making things again. Additionally, he proposed the largest tax reduction and simplification for middle-income Americans."
230,"Trump claimed that the replacement for Justice Scalia will be a person of similar views and principles, and that this will be one of the most important issues decided by the election."
42,"Trump claimed at the Trump draft RNC on July 21st, 2016 that the Obama Administration did not value the life of an innocent young girl named Sarah Root, who was killed by a released criminal. He also mentioned the high poverty rates among African-American children and Latinos, as well as the number of people who have left the workforce."
234,"Trump claimed that his opponent dismissed the VA scandal as not being widespread, showing her lack of awareness. He also stated that he would eliminate wasteful spending projects in his first 100 days and appoint Supreme Court justices who uphold the laws and Constitution. Trump accused his opponent of wanting to abolish the 2nd amendment, while he received the endorsement of the National Rifle Association and vowed to protect Americans' right to keep their families safe. He thanked the evangelical community for their support and criticized laws that prevent them from speaking their minds from their own pulpits."
28,"Trump claimed in a speech draft at the Trump draft RNC on July 21st, 2016, that the Obama Administration's rollback of criminal enforcement has led to a reversal of decades of progress in bringing down crime. He stated that homicides in America's fifty largest cities increased by 17% last year, the largest increase in 25 years. He also mentioned that killings in Washington D.C. have risen by 50%, in Baltimore by nearly 60%, and in Chicago, over 2,000 people have been victims of shootings this year alone, with over 3,600 killed in the Chicago area since Obama took office. Additionally, Trump claimed that the number of police officers killed in the line of duty has risen by almost 50% compared to the same point last year."
