line_number,summary
36,"Donald Trump claimed to have accomplished a lot, specifically mentioning progress on the issue of Iran, during an interview on Trump Fox Friends. He stated that the current president views Iran differently now and understands his perspective on the issue. Trump also criticized the previous president for making a ""horrible deal"" with Iran."
38,"Donald Trump claimed on April 26th, 2018, during an interview on Trump Fox Friends, that the current president views Iran differently than before taking office and understands Trump's perspective on the issue. Trump criticized the previous administration for making a ""horrible deal"" with Iran, giving them $150 billion and $1.8 billion in cash."
38,"Donald Trump claimed during an interview on Trump Fox Friends that the current president views Iran differently than before and understands his perspective on the issue. He criticized the previous administration for making a ""horrible deal"" with Iran, giving them $150 billion and $1.8 billion in cash."
315,"During an interview on Fox & Friends, Donald Trump claimed that he gets along with Kanye West and many other people."
316,Donald Trump claimed that Kanye West sees black unemployment at its lowest in history.
317,Donald Trump claimed that Kanye West sees the lowest black and Hispanic unemployment rates in the history of the United States.
544,Donald Trump claimed to give himself an A+ grade for his performance in fighting against a group of people who are making phony charges against him. He believes that he has been successful in messaging the fact that the charges against him are a witch hunt.
545,"Donald Trump claimed that despite facing phony charges and a cloud over his head, he has been able to effectively message and escape the situation, giving himself an A+ grade."
545,"Donald Trump claimed on April 26th, 2018, during an interview with Steve Doocy on Trump Fox Friends, that he would give himself an A+ grade for his efforts in fighting against a group of people who are making phony charges against him. He believes that he has been able to successfully message the fact that these charges are a witch hunt and a fix, despite the cloud of suspicion hanging over him."
553,"Donald Trump claimed on April 26th, 2018, during an interview on Trump Fox Friends, that the Democrats used a phony cloud over his head as an excuse for their loss in the Electoral College. He argued that the Electoral College is set up perfectly for the Democrats and that their loss was a total beating. Trump also mentioned that the investigators, such as Mueller, are conflicted in their approach."
554,"Donald Trump claimed on April 26th, 2018, during an interview on Trump Fox Friends, that he has been able to accomplish things despite a ""phony cloud"" over his head. He argued that Democrats used this cloud as an excuse for their loss in the Electoral College, which they should never lose. Trump also criticized the investigation, stating that the people involved are conflicted, as 13 of them are Democrats."
