line_number,summary
36,"Donald Trump claimed on April 26th, 2018, during an interview on Trump Fox Friends, that he and his administration accomplished a lot, specifically in regards to their stance on Iran. He stated that he believes the current president views Iran differently now compared to before taking office, and that Iran is a real problem for the country. Additionally, Trump criticized the previous administration's deal with Iran, referring to it as a ""horrible deal."""
38,"CLAIM: Donald Trump claims that the past administration made a horrible deal with Iran, giving them $150 billion and $1.8 billion in cash carried out in barrels and boxes from airplanes.

SUMMARY: On April 26th, 2018, during an interview on Trump Fox Friends, Donald Trump claimed that the past administration made a horrible deal with Iran, giving them $150 billion and $1.8 billion in cash carried out in barrels and boxes from airplanes."
38,"CLAIM: Donald Trump claims that the past administration made a horrible deal with Iran, giving them $150 billion and $1.8 billion in cash carried out in barrels and boxes from airplanes.

SUMMARY: On April 26th, 2018, during an interview on Trump Fox Friends, Donald Trump claimed that the past administration made a horrible deal with Iran, giving them $150 billion and $1.8 billion in cash carried out in barrels and boxes from airplanes."
315,"CLAIM: Donald Trump claims that he gets along with Kanye West and with a lot of people.

SUMMARY: During an interview on Trump Fox Friends on April 26th, 2018, Ainsley Earhardt mentioned that Kanye West tweeted his support for Trump, to which Trump responded by saying that Kanye has good taste. When asked about his reaction to the left's response, Trump simply replied, ""Yes."" He then stated that he gets along with Kanye and with a lot of people."
316,"Donald Trump claimed on April 26th, 2018, during an interview on Trump Fox Friends, that Kanye West sees black unemployment at the lowest it's been in the history of the United States."
317,Donald Trump claims that Kanye West sees black unemployment at the lowest it's been in the history of the country and Hispanic unemployment at the lowest it's been in the history of the country.
544,"Donald Trump claims during an interview on Trump Fox Friends on April 26th, 2018, that he would give himself an A+ grade for his performance in office. He argues that he has been fighting against a group of deep-seated people who are coming up with phony charges against him, while not bringing up real charges against the other side. Trump believes that he has been able to effectively message the idea that the investigations against him are a witch hunt and a fix."
545,"Donald Trump claims that despite facing phony charges and a cloud over his head, he has been able to effectively message and escape the situation. He gives himself an A+ grade for his efforts. This claim was made on April 26th, 2018, during an interview on Trump Fox Friends."
545,"Donald Trump claims that despite facing phony charges and a cloud over his head, he has been able to effectively message and escape the situation. He gives himself an A+ grade for his efforts. This claim was made on April 26th, 2018, during an interview on Trump Fox Friends."
553,"Donald Trump claimed on April 26th, 2018, during an interview on Trump Fox Friends, that the phony cloud over his head doesn't exist and was used by Democrats as an excuse for their loss in the Electoral College. He argued that the Electoral College is set up perfectly for the Democrats and that their loss was an absolute total beating. Trump also mentioned that the investigators, referring to Mueller's team, are conflicted, making it difficult for him to talk to them."
554,"Donald Trump claimed on April 26th, 2018, during an interview on Trump Fox Friends, that there is a ""phony cloud"" over his head that doesn't exist. He argued that Democrats used this as an excuse for their loss in the election and the Electoral College, which they should never lose. Trump also pointed out that the investigation into him is being conducted by 13 Democrats who he believes are conflicted."
