line_number,summary
180,"Donald Trump claimed during a joint session of Congress on February 28th, 2017 that the current immigration system in the United States depresses wages for the poorest workers and puts pressure on taxpayers. He argued that countries like Canada and Australia have a merit-based immigration system which America should adopt. Trump stated that those seeking to enter a country should be able to support themselves financially, and not enforcing this rule strains public resources. He cited the National Academy of Sciences, claiming that the current immigration system costs American taxpayers billions of dollars each year. Trump proposed switching to a merit-based system, which he believed would save money, raise workers' wages, and help struggling families, including immigrant families, enter the middle class."
289,"CLAIM: Donald Trump claims that police and sheriffs are members of the community and should be supported and trusted.

SUMMARY: During a joint session of Congress on February 28th, 2017, Donald Trump argued that in order to create a safe and prosperous future, Americans must work with law enforcement rather than against them. He emphasized the need to build bridges of cooperation and trust, stating that police and sheriffs are not only members of the community but also friends, neighbors, and family members who risk their lives daily."
73,"CLAIM: Donald Trump has directed the Department of Justice to form a task force on reducing violent crime and has ordered various departments to coordinate a strategy to dismantle criminal cartels in the United States.

SUMMARY: During a joint session of Congress on February 28th, 2017, Donald Trump claimed that he has directed the Department of Justice to form a task force on reducing violent crime and has ordered the Departments of Homeland Security and Justice, along with the Department of State and the director of national intelligence, to coordinate an aggressive strategy to dismantle criminal cartels in the United States."
75,"CLAIM: Donald Trump claims that he will stop drugs from pouring into the country and poisoning the youth, and he will expand treatment for those who are addicted.

SUMMARY: During a joint session of Congress on February 28th, 2017, Donald Trump claimed that he will stop drugs from entering the United States and harming the youth. He also stated that he will expand treatment options for individuals who are struggling with addiction."
43,Claim: Donald Trump claims that he will keep his promises to the American people.
67,"CLAIM: Donald Trump claims to have cleared the way for the construction of the Keystone and Dakota Access Pipelines, creating tens of thousands of jobs. He also claims to have issued a new directive for new American pipelines to be made with American steel and to have withdrawn the United States from the Trans-Pacific Partnership."
68,"CLAIM: Donald Trump claims to have cleared the way for the construction of the Keystone and Dakota Access Pipelines, creating tens of thousands of jobs. He also claims to have issued a new directive for new American pipelines to be made with American steel. Additionally, he claims to have withdrawn the United States from the Trans-Pacific Partnership and formed a council with Canada to support women entrepreneurs."
168,"CLAIM: Donald Trump claims that he will bring back millions of jobs.

SUMMARY: During a joint session of Congress on February 28th, 2017, Donald Trump argued for fair trade and referenced Abraham Lincoln's warning about the negative consequences of abandoning protective policies. Trump stated that he will not allow America and its companies to be taken advantage of any longer and vowed to bring back millions of jobs."
121,"CLAIM: Donald Trump claims that 94 million Americans are out of the labor force.

SUMMARY: During the Trump Congress joint session on February 28th, 2017, Donald Trump claimed that 94 million Americans are out of the labor force."
184,"Claim: Donald Trump believes that by switching to a merit-based immigration system, America will save money, raise workers' wages, and help struggling families enter the middle class. He also believes that real and positive immigration reform is possible if the focus is on improving jobs and wages for Americans, strengthening national security, and restoring respect for laws. This claim was made during a joint session of Congress on February 28th, 2017."
191,"Donald Trump claims during a joint session of Congress on February 28th, 2017, that real and positive immigration reform is possible if the focus is on improving jobs and wages for Americans, strengthening national security, and restoring respect for laws. He believes that Republicans and Democrats can work together to achieve this outcome. Additionally, Trump argues that the US has spent approximately $6 trillion in the Middle East while the country's infrastructure is crumbling. He suggests that with that amount of money, the US could have rebuilt the country twice or even three times if there were skilled negotiators. As a solution, Trump proposes a $1 trillion investment in infrastructure, financed through both public and private capital, which would create millions of new jobs."
313,"CLAIM: Donald Trump claims that the husbands of Susan Oliver and Jessica Davis, Deputy Sheriff Danny Oliver and Detective Michael Davis, were slain by an illegal immigrant with a criminal record and two prior deportations, who should have never been in the country. This claim was made during the Trump Congress joint session on February 28th, 2017."
315,"CLAIM: Donald Trump claims that he will never stop fighting for justice for the families of Deputy Sheriff Danny Oliver and Detective Michael Davis, who were slain in the line of duty by an illegal immigrant with a criminal record and two prior deportations. This claim was made during a joint session of Congress on February 28th, 2017."
